Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c27.jpeg,matched-32-cpi-low-c27.jpeg,0,34,34,82,,,,,,,161.59399289998692,161.59399289998692,,,3,"[0.013478199995006435, 0.24621460000344086, 0.38180930000089575]","[0.029860599999665283, 0.36497209999652114, 0.4485084000043571]",25.0,0.7815737000055378,1.2299991794861853e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c10.jpeg,matched-8-cpi-low-c10.jpeg,0,35,35,60,,,,,,,165.3294070999982,165.3294070999982,166.32506959998864,166.32506959998864,2,"[0.0005477999948197976, 0.7962766999989981]","[0.7466165000078036, 0.9964822000038112]",0.462962962962965,1.564136300003156,1.2599994079209864e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c17.jpeg,matched-32-cpi-low-c17.jpeg,0,36,36,80,,,,,,,169.99598739999055,169.99598739999055,,,1,[0.013292799994815141],[1.0097093000076711],10.27777777777778,1.2989522000134457,1.2300006346777081e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c58.jpeg,matched-c58.jpeg,0,37,37,1,,,,,,,174.44648689999303,174.44648689999303,,,3,"[0.013549799987231381, 0.5097816999914357, 0.5780951999913668]","[0.44298549999075476, 0.5446770999988075, 1.0110476999980165]",20.64814814814815,0.45003750000614673,1.2699994840659201e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c36.jpeg,matched-8-cpi-low-c36.jpeg,0,38,38,70,,,,,,,178.22909159999108,178.22909159999108,179.2291542999883,179.2291542999883,2,"[0.013600000005681068, 0.6301710999978241]","[0.3303273000055924, 0.9806557999982033]",13.981481481481485,1.0304718999977922,1.2199991033412516e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c42.jpeg,matched-c42.jpeg,0,39,39,59,,,,,,,182.16240019998804,182.16240019998804,183.17673359999026,183.17673359999026,1,[0.0003825000021606684],[1.0112095000076806],12.592592592592593,1.3643812000082107,1.2600008631125093e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c61.jpeg,matched-c61.jpeg,0,40,40,2,,,,,,,186.64563009999983,186.64563009999983,,,1,[0.013416300003882498],[1.0111505999957444],34.44444444444444,0.5317388999974355,1.3200013199821115e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c74.jpeg,matched-32-cpi-low-c74.jpeg,0,41,41,41,,,,,,,190.44557889999123,190.44557889999123,,,1,[0.01329079999413807],[1.0092006999911973],37.129629629629626,0.7350836999976309,1.2899996363557875e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c64.jpeg,matched-c64.jpeg,0,42,42,4,,,,,,,194.16213589999825,194.16213589999825,195.1764833999914,195.1764833999914,1,[0.0004415000003064051],[1.010491799999727],28.98148148148148,0.3330324999988079,1.3800003216601908e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c71.jpeg,matched-c71.jpeg,0,43,43,9,,,,,,,197.44548329999088,197.44548329999088,198.45992929999193,198.45992929999193,1,[0.22947270001168363],[1.0106501000118442],100,0.7314899999910267,1.5199999324977398e-05,,,UTS,001,2023-04-16_22h35.58.597,trial uncanny,2022.2.5,60.12961539540072,
