Type,Spatial_Frequency,filepath,file_name,human_trials.thisRepN,human_trials.thisTrialN,human_trials.thisN,human_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Human_image.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,image_2.started,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Human_image.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,34,34,40,,,,,,,149.73962880001636,149.73962880001636,1,[0.00038460001815110445],[0.9949647000175901],151.17601860000286,91.2037037037037,0.40370020002592355,1.2999982573091984e-05,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_01_Caucasian_female_neutral_frontal.jpg,0,35,35,15,,,,,,,153.22586260002572,153.22586260002572,1,[0.00040980003541335464],[1.0102239000261761],155.30618080002023,94.25925925925927,1.0490432999795303,1.3699987903237343e-05,154.23961620003683,154.23961620003683,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,36,36,6,,,,,,,157.15623339999001,157.15623339999001,1,[0.0003369000041857362],[0.9970622999826446],159.05913780000992,69.07407407407408,0.8855502000078559,1.5199999324977398e-05,158.15390040003695,158.15390040003695,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,matched-Rafd090_19_Caucasian_female_neutral_frontal.jpg,0,37,37,34,,,,,,,160.80606880004052,160.80606880004052,1,[0.00033220002660527825],[0.9971713999984786],162.3726091000135,39.44444444444444,0.5491855000145733,1.6899954061955214e-05,161.8038415000192,161.8038415000192,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,38,38,29,,,,,,,164.53931930003455,164.53931930003455,3,"[0.00045219995081424713, 0.29577649995917454, 0.6953614999656565]","[0.22873119998257607, 0.6287077999440953, 0.9954415999818593]",166.0256483000121,89.72222222222221,0.4694514999864623,1.3700046110898256e-05,165.53947920002975,165.53947920002975,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_31_Caucasian_female_neutral_frontal.jpg,0,39,39,10,,,,,,,167.7560392000014,167.7560392000014,1,[0.00047610001638531685],[0.9969191999989562],169.14216480002506,72.59259259259258,0.3690929000149481,1.4899997040629387e-05,168.75390890002018,168.75390890002018,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,HSF,Stimuli For Psychopy/Human/matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,matched-32-cpi-low-Rafd090_12_Caucasian_female_neutral_frontal.jpg,0,40,40,16,,,,,,,170.85581540002022,170.85581540002022,1,[0.00036419997923076153],[0.9954466000199318],172.97253989998717,92.22222222222223,1.0836078000138514,1.3199984095990658e-05,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_24_Caucasian_male_neutral_frontal.jpg,0,41,41,36,,,,,,,174.75881279999157,174.75881279999157,1,[0.00037379999412223697],[0.994053200003691],176.23899859999074,87.31481481481482,0.4497368999873288,1.2299977242946625e-05,,,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_37_Caucasian_female_neutral_frontal.jpg,0,42,42,14,,,,,,,177.98898200003896,177.98898200003896,1,[0.0004412000416778028],[0.9962948000174947],179.5889522000216,44.25925925925926,0.5828997000353411,1.2999982573091984e-05,178.98896650003735,178.98896650003735,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,BSF,Stimuli For Psychopy/Human/matched-Rafd090_28_Caucasian_male_neutral_frontal.jpg,matched-Rafd090_28_Caucasian_male_neutral_frontal.jpg,0,43,43,38,,,,,,,181.38704410003265,181.38704410003265,1,[0.01336119999177754],[1.0133582999696955],182.85866279999027,63.24074074074074,0.45262100000400096,2.1599989850074053e-05,182.38710250001168,182.38710250001168,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
Human,LSF,Stimuli For Psychopy/Human/matched-8-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,matched-8-cpi-low-Rafd090_16_Caucasian_female_neutral_frontal.jpg,0,44,44,2,,,,,,,184.57218990003457,184.57218990003457,1,[0.0003990999539382756],[0.9967293999507092],186.12517080002,80.74074074074073,0.535656200023368,1.360004534944892e-05,185.5702137000044,185.5702137000044,,,VAG,001,2023-05-06_17h55.55.754,Human_uncanny,2022.2.5,59.151507133208234,
,,,,,,,,,,,,,,,,,,,,,,,,,0.014958200044929981,1.018026900012046,,,,,,,
