,File_Name,Type,Spatial_Freq,Likability,Mechano_Humanness
59,matched-c37.jpeg,Mechanical,BSF,"[35.925925925925924, 57.03703703703704, -2.4074074074074048, 27.22222222222221]","[9.999999999999998, 0.3703703703703709, 8.148148148148149, 4.814814814814817]"
60,matched-32-cpi-low-c10.jpeg,Mechanical,HSF,"[-47.59259259259259, -60.74074074074074, -80.74074074074075, 32.96296296296296]","[9.907407407407408, 1.2037037037037013, 4.629629629629628, 9.537037037037038]"
61,matched-32-cpi-low-c14.jpeg,Mechanical,HSF,"[-90.0, -30.185185185185176, -54.629629629629626, 44.07407407407408]","[14.074074074074073, 0.8333333333333359, 12.592592592592592, 3.2407407407407387]"
62,matched-8-cpi-low-c61.jpeg,Humanoid,LSF,"[-89.81481481481481, -75.92592592592592, -46.851851851851855, 10.370370370370368]","[42.5925925925926, 42.31481481481482, 25.092592592592588, 10.833333333333334]"
63,matched-32-cpi-low-c58.jpeg,Humanoid,HSF,"[-55.74074074074075, -100.0, -7.592592592592595, -52.407407407407405]","[30.648148148148145, 35.92592592592593, 3.3333333333333326, 14.444444444444445]"
64,Matched-c43.jpeg,Mechanical,BSF,"[50.92592592592592, 26.296296296296305, 87.77777777777777, 33.888888888888914]","[3.4259259259259265, 52.87037037037037, 2.4074074074074083, 4.351851851851851]"
65,matched-32-cpi-low-c77.jpeg,Humanoid,HSF,"[17.777777777777786, 37.03703703703701, 56.85185185185185, 31.666666666666657]","[44.16666666666666, 63.05555555555556, 53.7962962962963, 61.29629629629629]"
66,matched-32-cpi-low-c17.jpeg,Mechanical,HSF,"[4.8148148148148096, 6.851851851851848, 75.55555555555554, -16.666666666666657]","[6.111111111111112, 10.27777777777778, 1.1111111111111127, 11.2962962962963]"
67,matched-32-cpi-low-c69.jpeg,Humanoid,HSF,"[13.148148148148152, -28.70370370370369, 85.74074074074073, 24.814814814814824]","[45.55555555555556, 22.87037037037037, 53.42592592592592, 52.77777777777778]"
68,matched-c64.jpeg,Humanoid,BSF,"[-19.07407407407408, -68.88888888888889, -71.48148148148148, -89.07407407407408]","[41.75925925925926, 28.98148148148148, 35.0, 55.92592592592592]"
