Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c36.jpeg,matched-c36.jpeg,0,51,51,55,,,,,,,222.4441971000051,222.4441971000051,223.44204819999868,223.44204819999868,1,[0.0003386000171303749],[0.9968206000048667],4.629629629629633,0.797704899974633,1.1499971151351929e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c38.jpeg,matched-8-cpi-low-c38.jpeg,0,52,52,72,,,,,,,226.74434479995398,226.74434479995398,227.74228359997505,227.74228359997505,1,[0.0005364000098779798],[0.9936233999906108],8.148148148148152,0.7997026999946684,1.3000040780752897e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c10.jpeg,matched-32-cpi-low-c10.jpeg,0,53,53,75,,,,,,,230.32556159998057,230.32556159998057,231.32536739995703,231.32536739995703,1,[0.012945000024046749],[1.01099909999175],32.96296296296296,0.5042014000355266,1.3199984095990658e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c48.jpeg,matched-32-cpi-low-c48.jpeg,0,54,54,30,,,,,,,233.57743329997174,233.57743329997174,234.57527269999264,234.57527269999264,1,[0.012771799985785037],[1.012671299977228],-71.29629629629629,0.6832095000427216,1.2199976481497288e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c43.jpeg,Matched-c43.jpeg,0,55,55,51,,,,,,,237.04396499996074,237.04396499996074,,,1,[0.0004216000088490546],[0.9802038000198081],33.888888888888914,1.2832628000178374,1.2400036212056875e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c72.jpeg,matched-c72.jpeg,0,56,56,10,,,,,,,241.06346949998988,241.06346949998988,242.07717000000412,242.07717000000412,1,[0.00041779997991397977],[1.010003899980802],56.296296296296276,0.36620019999099895,1.1999974958598614e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c72.jpeg,matched-8-cpi-low-c72.jpeg,0,57,57,25,,,,,,,244.26048969995463,244.26048969995463,245.26041479996638,245.26041479996638,1,[0.013053699978627264],[1.0132156999898143],-68.33333333333334,0.6021400000317954,1.1700030881911516e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c77.jpeg,matched-8-cpi-low-c77.jpeg,0,58,58,28,,,,,,,247.67702509998344,247.67702509998344,248.67479520000052,248.67479520000052,1,[0.013398000039160252],[1.0132503000204451],9.259259259259252,0.46453270001802593,1.5300000086426735e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c79.jpeg,matched-8-cpi-low-c79.jpeg,0,59,59,29,,,,,,,251.22707929997705,251.22707929997705,,,1,[0.00034879997838288546],[0.9801110000116751],65.0,1.4816784999566153,1.3699987903237343e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c35.jpeg,matched-8-cpi-low-c35.jpeg,0,60,60,69,,,,,,,255.5298929999699,255.5298929999699,256.54340589995263,256.54340589995263,1,[0.0004810999962501228],[1.0094925000448711],28.148148148148152,1.286753199994564,1.1899974197149277e-05,,,TEP,001,2023-05-06_17h27.21.173,trial uncanny,2022.2.5,60.065327050663456,
