Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c16.jpeg,matched-32-cpi-low-c16.jpeg,0,55,55,79,,,,,,,283.0286525001284,283.0286525001284,1,[0.009198299841955304],[1.0096867999527603],14.074074074074073,0.6156993999611586,1.4799879863858223e-05,284.0285776001401,284.0285776001401,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c74.jpeg,matched-32-cpi-low-c74.jpeg,0,56,56,41,,,,,,,286.4953475999646,286.4953475999646,1,[0.0004165999125689268],[0.9922199998982251],54.166666666666664,2.2641680999659,1.200009137392044e-05,287.49516950012185,287.49516950012185,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c12.jpeg,matched-8-cpi-low-c12.jpeg,0,57,57,62,,,,,,,291.6452713999897,291.6452713999897,1,[0.0003918998409062624],[0.9939848999492824],14.25925925925926,0.5141336999367923,1.6300007700920105e-05,292.64500150014646,292.64500150014646,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c66.jpeg,matched-c66.jpeg,0,58,58,6,,,,,,,295.02881940011866,295.02881940011866,1,[0.008656100137159228],[1.0090391000267118],48.7037037037037,0.3497134998906404,1.3499986380338669e-05,296.0287268999964,296.0287268999964,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c74.jpeg,matched-c74.jpeg,0,59,59,11,,,,,,,298.2284486000426,298.2284486000426,1,[0.00987070007249713],[1.0091993999667466],54.25925925925926,1.0016449000686407,1.2800097465515137e-05,299.22809770004824,299.22809770004824,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c38.jpeg,matched-32-cpi-low-c38.jpeg,0,60,60,87,,,,,,,302.09548590006307,302.09548590006307,1,[0.00925079989247024],[1.0076389000751078],25.185185185185187,0.43198099988512695,1.309998333454132e-05,303.09712170017883,303.09712170017883,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c66.jpeg,matched-32-cpi-low-c66.jpeg,0,61,61,36,,,,,,,307.47818870004267,307.47818870004267,1,[0.0003675001207739115],[0.9918369001243263],51.2962962962963,0.44826789991930127,1.950003206729889e-05,308.4784147001337,308.4784147001337,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c74.jpeg,matched-8-cpi-low-c74.jpeg,0,62,62,26,,,,,,,310.9281244999729,310.9281244999729,1,[0.009278899990022182],[1.0112270000390708],29.537037037037038,0.5134900000412017,1.54001172631979e-05,311.930531400023,311.930531400023,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c37.jpeg,matched-c37.jpeg,0,63,63,56,,,,,,,314.27791980002075,314.27791980002075,1,[0.00044219987466931343],[0.9910436999052763],10.185185185185187,0.44726789998821914,1.2699980288743973e-05,315.2803033001255,315.2803033001255,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c58.jpeg,matched-32-cpi-low-c58.jpeg,0,64,64,31,,,,,,,317.54702860000543,317.54702860000543,1,[0.009629399981349707],[1.0098635000176728],15.370370370370374,0.463878900045529,1.400010660290718e-05,318.54455650015734,318.54455650015734,,,P14,001,2023-04-14_15h50.48.561,trial uncanny,2022.2.5,60.139198141765,
