Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,Robotic__Stimuli.stopped,roi.stopped,roi.numLooks,roi.timesOn,roi.timesOff,M_H_likeness_slider.response,M_H_likeness_slider.rt,ISI_2.started,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c64.jpeg,matched-c64.jpeg,0,33,33,4,,,,,,,149.8352065999934,149.8352065999934,150.83869969999068,150.83869969999068,1,[0.000428599989390932],[0.9918300999997882],41.75925925925926,0.4146054000011645,1.8799997633323073e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c65.jpeg,matched-32-cpi-low-c65.jpeg,0,34,34,35,,,,,,,153.23674939999182,153.23674939999182,154.23857509999652,154.23857509999652,1,[0.0005904999998165295],[0.9922880999947665],46.574074074074076,0.37962700000207406,1.4399993233382702e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c16.jpeg,matched-32-cpi-low-c16.jpeg,0,35,35,79,,,,,,,156.61954259999038,156.61954259999038,157.61993889999576,157.61993889999576,1,[0.00043110000842716545],[0.9901458000094863],24.537037037037035,0.5164449000003515,1.239999255631119e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c11.jpeg,matched-8-cpi-low-c11.jpeg,0,36,36,61,,,,,,,160.0347158999939,160.0347158999939,161.03525659999286,161.03525659999286,2,"[0.00046470000233966857, 0.5926756999979261]","[0.5758549000020139, 0.9925537999952212]",9.814814814814815,0.41409930000372697,1.3500000932253897e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c41.jpeg,matched-8-cpi-low-c41.jpeg,0,37,37,73,,,,,,,163.40541880000092,163.40541880000092,164.40518989998964,164.40518989998964,2,"[0.00040160000207833946, 0.9957367999886628]","[0.9620239999931073, 0.9957397999969544]",14.629629629629632,0.562857900004019,1.5300000086426735e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c10.jpeg,matched-32-cpi-low-c10.jpeg,0,38,38,75,,,,,,,166.90502069999638,166.90502069999638,167.91830109999864,167.91830109999864,3,"[0.0006256000051507726, 0.7563122999999905, 0.9376159999956144]","[0.7231108999985736, 0.7729893000068842, 1.0032179999980144]",9.907407407407408,1.2837204999959795,1.4099990949034691e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c14.jpeg,matched-c14.jpeg,0,39,39,48,,,,,,,171.18883739999728,171.18883739999728,,,1,[0.008889500008081086],[1.0052805000013905],4.4444444444444455,0.5850349999964237,1.3299999409355223e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c63.jpeg,matched-c63.jpeg,0,40,40,3,,,,,,,174.7693908999936,174.7693908999936,175.76999239998986,175.76999239998986,1,[0.00045140000293031335],[0.9899405000032857],31.851851851851855,0.7001089999976102,1.309999788645655e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c11.jpeg,matched-c11.jpeg,0,41,41,46,,,,,,,178.5694543999998,178.5694543999998,179.56950030000007,179.56950030000007,1,[0.0005807999987155199],[0.9902247999998508],34.166666666666664,0.9821667999931378,1.550000160932541e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c69.jpeg,matched-32-cpi-low-c69.jpeg,0,42,42,38,,,,,,,182.6864734999981,182.6864734999981,183.68808140000328,183.68808140000328,1,[0.0004461999924387783],[0.9910608999925898],45.55555555555556,0.8644253999955254,1.3199998647905886e-05,,,VYV,001,2023-04-16_22h07.15.797,trial uncanny,2022.2.5,60.055731720425214,
