Type,Spatial_Frequency,filepath,file_name,robotic_trials.thisRepN,robotic_trials.thisTrialN,robotic_trials.thisN,robotic_trials.thisIndex,instruction.started,key_resp.started,key_resp.keys,key_resp.rt,etRecord.started,etRecord.stopped,Robotic__Stimuli.started,roi.started,roi.numLooks,roi.timesOn,roi.timesOff,Likebility_slider_3.response,Likebility_slider_3.rt,ISI_2.started,Robotic__Stimuli.stopped,roi.stopped,etRecord_2.started,etRecord_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c58.jpeg,matched-8-cpi-low-c58.jpeg,0,35,35,16,,,,,,,225.74352269999508,225.74352269999508,3,"[0.0004563999973470345, 0.4735161999997217, 0.9924426000070525]","[0.45871740000438876, 0.9588630000071134, 0.9924450999969849]",-27.037037037037038,0.6973625999962678,1.3500000932253897e-05,226.74358119998942,226.74358119998942,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c10.jpeg,matched-c10.jpeg,0,36,36,45,,,,,,,229.41216959999292,229.41216959999292,1,[0.0004275999963283539],[0.9435723000060534],-64.25925925925927,0.7142862000036985,1.3299999409355223e-05,230.41365689999657,230.41365689999657,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,BSF,Stimuli For Psychopy\Robotic\matched-c27.jpeg,matched-c27.jpeg,0,37,37,52,,,,,,,233.093338199993,233.093338199993,1,[0.008194099995307624],[1.0061889000062365],-39.444444444444436,0.4022063000011258,1.309999788645655e-05,234.09316379998927,234.09316379998927,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c36.jpeg,matched-8-cpi-low-c36.jpeg,0,38,38,70,,,,,,,236.3931375999964,236.3931375999964,1,[0.0004248000041116029],[0.9947071999922628],1.6666666666666572,1.5142171000043163,1.2799995602108538e-05,237.39333729998907,237.39333729998907,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c79.jpeg,matched-32-cpi-low-c79.jpeg,0,39,39,44,,,,,,,240.795040099998,240.795040099998,1,[0.008438300006673671],[1.0067259000061313],3.7037037037036953,1.0167742000048747,1.3600001693703234e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c66.jpeg,matched-32-cpi-low-c66.jpeg,0,40,40,36,,,,,,,244.73065759999736,244.73065759999736,1,[0.009210399992298335],[1.0054832000023453],12.407407407407405,1.0001899000053527,1.379998866468668e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c63.jpeg,matched-8-cpi-low-c63.jpeg,0,41,41,18,,,,,,,248.8617865999986,248.8617865999986,1,[0.009677099995315075],[1.00966630000039],-36.48148148148148,0.4169755999901099,1.4599994756281376e-05,249.86158989999967,249.86158989999967,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,BSF,Stimuli For Psychopy\Robotic\matched-c71.jpeg,matched-c71.jpeg,0,42,42,9,,,,,,,252.25979820000066,252.25979820000066,3,"[0.00941870000679046, 0.7592007000057492, 0.9759062000084668]","[0.6910424000088824, 0.9589234000013676, 1.0090735999983735]",35.55555555555557,0.8332129000045825,1.4599994756281376e-05,253.25968569998804,253.25968569998804,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Mechanical,HSF,Stimuli For Psychopy\Robotic\matched-32-cpi-low-c12.jpeg,matched-32-cpi-low-c12.jpeg,0,43,43,77,,,,,,,256.076075399993,256.076075399993,1,[0.0005263000057311729],[0.9912242999998853],18.518518518518505,1.0327964000025531,1.3599987141788006e-05,257.07635160000063,257.07635160000063,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
Humanoid,LSF,Stimuli For Psychopy\Robotic\matched-8-cpi-low-c69.jpeg,matched-8-cpi-low-c69.jpeg,0,44,44,23,,,,,,,260.111092799998,260.111092799998,1,[0.00040779999108053744],[0.991397899997537],7.592592592592595,0.6504588999960106,1.3599987141788006e-05,,,,,VYV,001,2023-04-16_21h50.01.102,trial uncanny,2022.2.5,59.10644065100967,
